"pp_id","entropy_diff_mean","G_diff_mean"
20,-0.071532929500255,0.0195968067604777
21,-0.0360697058715986,0.0487960241873703
22,-0.0335015133753116,0.0532595484071652
23,-0.0864316125355245,0.0251319048646976
24,-0.109571348159664,0.0363680156014089
25,-0.0707630867372532,0.012457658898352
26,-0.0900255012260715,0.0260798040490341
27,-0.0381413937722977,0.04260582245272
28,-0.0713293119570522,0.0278749612735761
29,-0.0807640956698501,0.0620560588965428
30,-0.0506161896539851,0.0860812020673876
31,-0.0494456577751292,0.0222291828296878
32,0.00359289677956865,0.0173823529073317
33,-0.0216833079720492,0.0802497886223682
34,-0.000822242511144238,0.0341270663749145
35,-0.0648302843969828,0.0261276969741286
36,-0.00479008167820976,0.0380956909238729
37,-0.0602520042477363,0.0418158916232599
38,0.00081841966800102,0.0166340420658575
39,-0.0875901812915987,0.11145522467144
40,-0.0564239522177553,0.0320492457600152
41,-0.0508094292984045,0.0335569130280554
42,-0.0648917232087075,0.0276044547132494
43,0.00311361094744019,0.0282555304234423
44,-0.0798428928688184,0.0253590586127653
45,-0.0490632074528007,0.0227582222081496
46,-0.0633692992211478,0.0515911728880175
47,-0.150102713220896,0.0330630765800626
48,-0.0493129975531344,0.0248257186796773
49,-0.0610411680889155,0.0154763670454444
50,-0.0125458766938421,0.0320635002655604
51,-0.0133080622183954,0.0772224035056093
52,-0.0400842249111511,0.0257896721456101
53,-0.0550233247746974,0.0234232457316512
54,-0.0661248796878943,0.0386330296749779
55,-0.0469284792642051,0.0784432459487075
56,-0.110872919583987,0.0617826549654532
57,-0.0386081120136543,0.0352410652909629
58,-0.0241813063324648,0.0242604614767299
59,-0.0647772203799137,0.0597863973845555
60,0.00346567767203767,0.0491123912705398
61,-0.0500593844455526,0.038282532869808
62,-0.107905232642518,0.0316011506666554
63,-0.0888175376880901,0.201354325295443
64,-0.014106092336639,0.0337079054926818
65,-0.0601737685454855,0.0239206885731146
66,-0.0302976875644087,-0.0005338693602256
