pp_id,tempo,G
1,400 ms,0.11433167923004839
10,400 ms,0.01979062415858046
11,400 ms,0.01944213302915565
12,400 ms,0.04102514743575869
2,400 ms,0.03592441626366705
3,400 ms,0.005060064927329577
4,400 ms,0.021971638489317935
5,400 ms,0.046490714520541654
7,400 ms,0.044768519229784975
8,400 ms,0.058368131280598146
9,400 ms,0.01208484129932108
1,600 ms,0.1967340163942657
10,600 ms,0.055769991909405126
11,600 ms,0.014277046268128313
12,600 ms,0.02181482107650823
2,600 ms,0.08293613077774864
3,600 ms,0.04020983034456882
4,600 ms,0.018073322370021794
5,600 ms,0.06911704502184124
7,600 ms,0.054398956332862736
8,600 ms,0.060886052661304424
9,600 ms,0.01978219412629989
