pp_id,stim_tempo_intended,length,hypo_distribution,ks_statistic
1,400,4,binary,0.421
1,400,4,ternary,0.257
1,400,5,binary,0.405
1,400,5,ternary,0.235
1,600,4,binary,0.191
1,600,4,ternary,0.159
1,600,5,binary,0.117
1,600,5,ternary,0.344
2,400,4,binary,0.576
2,400,4,ternary,0.426
2,400,5,binary,0.515
2,400,5,ternary,0.353
2,600,4,binary,0.272
2,600,4,ternary,0.151
2,600,5,binary,0.206
2,600,5,ternary,0.147
3,400,4,binary,0.403
3,400,4,ternary,0.228
3,400,5,binary,0.358
3,400,5,ternary,0.22
3,600,4,binary,0.177
3,600,4,ternary,0.187
3,600,5,binary,0.172
3,600,5,ternary,0.181
4,400,4,binary,0.344
4,400,4,ternary,0.186
4,400,5,binary,0.343
4,400,5,ternary,0.198
4,600,4,binary,0.197
4,600,4,ternary,0.14
4,600,5,binary,0.131
4,600,5,ternary,0.256
5,400,4,binary,0.313
5,400,4,ternary,0.162
5,400,5,binary,0.295
5,400,5,ternary,0.18
5,600,4,binary,0.133
5,600,4,ternary,0.237
5,600,5,binary,0.16
5,600,5,ternary,0.201
7,400,4,binary,0.359
7,400,4,ternary,0.199
7,400,5,binary,0.355
7,400,5,ternary,0.211
7,600,4,binary,0.109
7,600,4,ternary,0.301
7,600,5,binary,0.168
7,600,5,ternary,0.212
8,400,4,binary,0.422
8,400,4,ternary,0.236
8,400,5,binary,0.306
8,400,5,ternary,0.167
8,600,4,binary,0.138
8,600,4,ternary,0.23
8,600,5,binary,0.195
8,600,5,ternary,0.15
9,400,4,binary,0.367
9,400,4,ternary,0.206
9,400,5,binary,0.347
9,400,5,ternary,0.205
9,600,4,binary,0.113
9,600,4,ternary,0.329
9,600,5,binary,0.124
9,600,5,ternary,0.265
10,400,4,binary,0.43
10,400,4,ternary,0.255
10,400,5,binary,0.456
10,400,5,ternary,0.287
10,600,4,binary,0.207
10,600,4,ternary,0.129
10,600,5,binary,0.178
10,600,5,ternary,0.179
11,400,4,binary,0.424
11,400,4,ternary,0.265
11,400,5,binary,0.353
11,400,5,ternary,0.22
11,600,4,binary,0.215
11,600,4,ternary,0.165
11,600,5,binary,0.111
11,600,5,ternary,0.346
12,400,4,binary,0.277
12,400,4,ternary,0.146
12,400,5,binary,0.381
12,400,5,ternary,0.206
12,600,4,binary,0.214
12,600,4,ternary,0.139
12,600,5,binary,0.464
12,600,5,ternary,0.325
